identifiant,release,nationalite,date_sortie_dvd,date_sortie_bluray,date_sortie_vod,type_film,budget,langues,format_production,couleur,format_audio,format_projection,recompenses,num_visa,duration,genre1,genre2,genre3,director,press_rating,press_reviews,spectators_rating,spectators_reviews,L’Écran fantastique,Les Cahiers du cinéma,Cinemateaser,Les Inrocks,Mad Movies,Positif,Première,Télérama,Transfuge,À voir à lire,Bande à part,Critikat,Culturebox,Culturopoing,Ecran large,Filmsactu,Journal du geek,La Septième obsession,LCI,Les Fiches du cinéma,IGN France,20 minutes,Charlie Hebdo,CNews,Les Dernières Nouvelles d’Alsace,Les Echos,L’Humanité,La Croix,La Voix du nord,Le Dauphiné Libéré,Le Figaro,Le JDD,Le Monde,Le Parisien,Le Point,Libération,Marianne,Nouvel Obs,Ouest France,Sud-Ouest,Biba,Closer,Elle,Femme actuelle,GQ,Marie-Claire,Paris Match,Public,Rolling Stone,Télé 2 semaines,Télé 7 jours,Téléloisirs,Voici
138752,en salle,,01/12/2024,-,19/04/2011,Long métrage,100 000 000 USD,"Anglais, Français, Italien, Russe, Espagnol",-,Couleur,-,-,4 nominations,128209,1h 43min,Drame,Thriller,,Florian Henckel von Donnersmarck,"1,6",9,"2,2",6810,,,,,,Très mauvais,,,,,,,,,,,,,,,,,,,,,,,,,,,Très mauvais,Pas terrible,,,,,,,,,,,,,,,,,,,
109173,en salle,U.S.A.,01/01/2012,22/02/2011,15/03/2011,Long métrage,24 000 000 USD,Anglais,-,Couleur,-,-,,126913,1h 29min,Epouvante-horreur,,,Alexandre Aja,"3,5",22,"2,6",7720,,,,,Très bien,Très bien,Très bien,Très bien,,,,,,,,Pas mal,,,,,,,Pas mal,,,,,,,,,,Pas mal,Très bien,Très bien,Pas mal,,,Pas mal,,,,,,,,Très bien,,,,,,
145331,en salle,U.S.A.,01/12/2024,15/09/2010,07/06/2017,Long métrage,16 000 000 USD,"Chinois, Anglais",-,Couleur,-,-,,125885,1h 53min,Drame,Romance,,Allen Coulter,"2,4",14,"3,7",7866,,,,,,Pas terrible,Très bien,Pas terrible,,,,,,,,Pas terrible,,,,,,,,,,,,,,,,,,Pas terrible,Pas terrible,Pas mal,,,Pas terrible,,,,,,,,,,,,,,
183325,en salle,Grande-Bretagne,01/06/2021,06/04/2011,01/02/2016,Long métrage,-,"Anglais, Espagnol",-,Couleur,-,-,2 nominations,128015,1h 33min,Drame,Epouvante-horreur,Science Fiction,Gareth Edwards (V),"3,4",19,"2,6",2976,,,,,Très bien,Très bien,Très bien,Pas terrible,,,,,,,,,,,,,,,,,,,,,,,,,Très bien,,,,,,Pas terrible,,,,,,,,,,,,,,
103306,en salle,U.S.A.,-,-,01/01/2015,Long métrage,-,Anglais,-,Couleur,-,-,1 prix et 1 nomination,125763,1h 42min,Comédie,,,Dennis Dugan,"1,4",5,"2,7",3034,,,,,,,Très mauvais,,,,,,,,,,,,,,,,,,,,,,,,,,,Pas terrible,,,,,,,,,,,,,,,,,,,
139824,en salle,U.S.A.,-,-,01/10/2021,Long métrage,-,Anglais,35mm,Couleur,"Dolby Digital, DTS, SDDS",2.35 : 1 Cinemascope,2 prix et 8 nominations,131125,1h 40min,Comédie dramatique,,,Jonathan Levine,"3,1",16,"3,9",2931,,,,,,Très bien,Très bien,Pas mal,,,,,,,,,,,,,,,,,,,,,,,,,Pas mal,,,,,,Pas terrible,,,,,,,,,,,,,,
129640,en salle,,27/04/2011,27/04/2011,22/04/2011,Long métrage,-,Français,35mm,Couleur,Dolby SRD,2.35 : 1 Cinemascope,2 prix et 8 nominations,121 064,1h 20min,Comédie,Romance,,Jean-Pierre Améris,"3,4",21,"3,4",6136,,,,,,Très bien,Très bien,Pas mal,,,,,,,,,,,,,,,,,,,,Pas mal,,,,,Pas mal,Chef-d'oeuvre,Très bien,,,,Pas mal,,,,Pas mal,,,,Pas terrible,,,,,,
146229,en salle,U.S.A.,17/03/2011,17/03/2011,10/08/2016,Long métrage,58 000 000 USD,"Anglais, Russe",-,Couleur,-,-,4 nominations,127004,1h 51min,Action,Comédie,,Robert Schwentke,"2,8",18,"3,4",10057,,,,,,Pas mal,Pas terrible,Pas terrible,,,,,,,,Pas mal,,,,,,,Très bien,,,,,,,,,,Pas mal,Pas mal,,,,,Pas mal,,,,,,,,,,,,,,
125433,en salle,U.S.A.,30/11/2024,30/11/2010,15/10/2017,Long métrage,150 000 000 USD,Anglais,-,Couleur,-,-,5 prix et 4 nominations,126048,1h 43min,Action,Aventure,Famille,M. Night Shyamalan,"1,9",16,"2,1",8900,,,,,Pas mal,Très mauvais,,Très mauvais,,,,,,,,,,,,,,,,,,,,,,,,,Très mauvais,Très mauvais,,Très mauvais,,,Pas terrible,,,,,,,,,,,,,,
140000,en salle,,26/05/2011,26/05/2011,01/10/2021,Long métrage,-,"Anglais, Polonais, Russe",-,Couleur,-,-,,125469,2h 13min,Aventure,Drame,Historique,Peter Weir,"3,1",23,"3,8",5425,,,,,,Chef-d'oeuvre,Très bien,Pas mal,,,,,,,,,,,,,,,,,,,,Très bien,,,,,Pas mal,Pas terrible,Très bien,Pas mal,,,Pas mal,,,,,,,,Pas mal,,,,,,
142555,en salle,U.S.A.,01/12/2024,-,10/06/2013,Long métrage,100 000 000 USD,"ARABIC, Anglais",-,Couleur,-,-,6 prix et 4 nominations,126380,2h 26min,Comédie,,,Michael Patrick King,"2,5",12,"2,1",3623,,,,,,,,Très mauvais,,,,,,,,Très mauvais,,,,,,,,,,,,,,,,,Pas terrible,Très bien,,,,,,,,,,,,,,,,,,,
176684,en salle,Japon,01/12/2024,28/09/2011,01/01/2015,Long métrage,-,"Anglais, Japonais",-,Couleur,-,-,2 nominations,128531,1h 34min,Aventure,Animation,Famille,Hiromasa Yonebayashi,"3,7",23,"4,1",6304,,,,,Pas terrible,Très bien,Pas mal,Très bien,,,,,,,,Pas mal,,,,,,,,,,,,Très bien,,,,,Chef-d'oeuvre,Chef-d'oeuvre,Chef-d'oeuvre,Pas mal,,,Très bien,,,,,,,,,,,,,,
48749,en salle,U.S.A.,30/11/2024,20/04/2011,07/03/2017,Long métrage,55 000 000 USD,Anglais,-,Couleur,-,-,1 prix et 4 nominations,-,1h 40min,Drame,Comédie musicale,Romance,Steven Antin,"2,2",13,"3,6",2364,,,,,,Très mauvais,Pas mal,Pas terrible,,,,,,,,Très mauvais,,,,,,,,,,,,,,,,,Très mauvais,,,,,,,,,,Pas terrible,,,,,,,,,,
140458,en salle,U.S.A.,22/12/2012,18/12/2010,01/10/2021,Long métrage,80 000 000 USD,"Anglais, Espagnol",-,Couleur,-,-,2 nominations,-,1h 45min,Action,,,Sylvester Stallone,"2,8",17,"2,9",24366,,,,,,Très mauvais,,Pas mal,,,,,,,,,,,,,,,Très bien,,,,,,,,,,Très mauvais,Très bien,Pas terrible,Pas terrible,,,Pas mal,,,,,,,,,,,,,,
126123,en salle,U.S.A.,17/11/2010,17/11/2010,18/04/2017,Long métrage,200 000 000 USD,Anglais,-,Couleur,-,-,5 prix et 10 nominations,126562,1h 40min,Aventure,Animation,Comédie,Lee Unkrich,"4,7",22,"4,4",43425,,,,,,Chef-d'oeuvre,Chef-d'oeuvre,Très bien,,,,,,,,Pas mal,,,,,,,,,,,,Très bien,,,,,Très bien,Chef-d'oeuvre,Chef-d'oeuvre,Chef-d'oeuvre,Chef-d'oeuvre,,Chef-d'oeuvre,,,,Chef-d'oeuvre,,,,Chef-d'oeuvre,,,,,,
29233,en salle,U.S.A.,09/06/2011,09/06/2011,01/02/2016,Long métrage,170 000 000 USD,Anglais,-,Couleur,-,-,8 nominations,128527,2h 06min,Action,Aventure,Science Fiction,Joseph Kosinski,"2,7",23,"3,3",25487,,,,,Très mauvais,,Pas mal,Pas terrible,,,,,,,,Pas mal,,,,,,,Très bien,,,,,,,,,,Pas mal,Pas terrible,,Pas mal,,,Pas mal,,,,,,,,,,,,,,
127922,en salle,,27/04/2011,27/04/2011,30/04/2015,Long métrage,155 000 000 USD,Anglais,-,Couleur,-,-,4 nominations,127458,1h 55min,Aventure,Famille,Fantastique,Michael Apted,"2,7",16,"3,0",8832,,,,,Très bien,,,Pas mal,,,,,,,,Pas mal,,,,,,,,,,,,Très mauvais,,,,,Très mauvais,Pas terrible,,,,,Pas mal,,,,,,,,,,,,,,
178509,en salle,France,03/03/2011,-,10/10/2014,Long métrage,-,Français,-,Couleur,-,-,,121251,1h 30min,Comédie,Romance,,Anne Depetrini,"1,8",20,"1,7",2627,,,,,,Très mauvais,Très mauvais,Pas mal,,,,,,,,,,,,,,,,,,,,,,,,,Pas terrible,Pas terrible,Très mauvais,Très mauvais,Très bien,,Très mauvais,,,,Pas mal,,,,Pas mal,,,,,,
140620,en salle,,01/12/2024,03/08/2010,01/02/2016,Long métrage,35 000 000 USD,Anglais,-,Couleur,-,-,,-,1h 49min,Comédie,Fantastique,,Susanna White,"2,5",12,"2,8",1698,,,,,,,Très mauvais,Pas terrible,,,,,,,,,,,,,,,,,,,,Pas mal,,,,,Pas mal,Pas terrible,,,,,Pas mal,,,,,,,,,,,,,,
125119,en salle,France,01/12/2024,-,20/04/2011,Long métrage,-,Français,-,Couleur,-,-,13 nominations,113566,1h 10min,Animation,Policier,,Alain Gagnol,"3,6",20,"3,8",834,,,,,,Très bien,Pas mal,Très bien,,,,,,,,,,,,,,,,,,,,Très bien,,,,,Très bien,Chef-d'oeuvre,Très bien,,Très bien,,Très bien,,,,,,,,,,,,,,
133955,en salle,U.S.A.,20/10/2010,20/10/2010,30/11/2011,Long métrage,35 000 000 USD,Anglais,-,Couleur,-,-,,126053,1h 35min,Epouvante-horreur,,,Samuel Bayer,"1,5",14,"2,2",4393,,,,,Pas terrible,,,,,,,,,,,Pas terrible,,,,,,,,,,,,,,,,,Très mauvais,Pas terrible,,,,,Pas terrible,,,,,,,,,,,,,,
126386,en salle,U.S.A.,01/12/2024,24/08/2011,01/10/2021,Long métrage,25 000 000 USD,Anglais,-,Couleur,-,-,6 prix et 20 nominations,127910,1h 53min,Biopic,Drame,,David O. Russell,"3,9",25,"4,1",9111,,,,,,Pas terrible,Très bien,Très bien,,,,,,,,Chef-d'oeuvre,,,,,,,Chef-d'oeuvre,,,,,,,,,,Très bien,Très bien,Chef-d'oeuvre,Très bien,,,Très bien,,,,Chef-d'oeuvre,,,,,,,,,,
188871,en salle,France,-,-,11/05/2017,Long métrage,-,Français,-,Couleur,-,-,1 prix et 2 nominations,127549,1h 39min,Comédie,Policier,,Djamel Bensalah,"1,8",17,"1,6",1731,,,,,,,Pas terrible,Pas mal,,,,,,,,Très mauvais,,,,,,,,,,,,,,,,,,,Très mauvais,Pas terrible,,,Pas terrible,,,,Pas terrible,,,,Pas mal,,,,,,
129054,en salle,,12/10/2010,-,31/08/2010,Long métrage,100 000 000 USD,Anglais,-,Couleur,-,-,,125272,1h 55min,Drame,Thriller,,Paul Greengrass,"3,8",28,"3,6",8513,,,,,,Chef-d'oeuvre,Très bien,Pas mal,,,,,,,,,,,,,,,Très mauvais,,,,,Pas mal,,,,,Très bien,Très bien,Chef-d'oeuvre,Très mauvais,Très bien,,Très bien,,,,Très bien,,,,Très bien,,,,,,
146955,en salle,France,-,-,28/11/2017,Long métrage,-,Français,-,Couleur,-,-,1 prix et 1 nomination,122 890,1h 30min,Comédie,,,Pascal Bourdiaux,"3,1",8,"2,6",5648,,,,,,,,,,,,,,,,Très bien,,,,,,,,,,,,,,,,,,Pas mal,,,,,Pas mal,,,,,,,,Très bien,,,,,,
179442,en salle,,23/11/2011,-,01/02/2016,Long métrage,-,"Anglais, Français",-,Couleur,-,-,,-,1h 18min,Animation,Comédie,,Luc Vinciguerra,"2,9",11,"3,4",355,,,,,,,,Pas mal,,,,,,,,,,,,,,,,,,,,Très bien,,,,,Pas mal,,,Très mauvais,,,Pas terrible,,,,,,,,,,,,,,
140335,en salle,U.S.A.,-,-,01/09/2015,Long métrage,58 000 000 USD,"Anglais, Italien, Espagnol",35mm,Couleur,Dolby Digital,2.35 : 1 Cinemascope,,124442,1h 43min,Comédie,Drame,Romance,Marc Lawrence (II),"3,0",12,"1,9",2081,,,,,,Très bien,,Pas mal,,,,,,,,,,,,,,,,,,,,,,,,,,Pas mal,,,,,Pas mal,,,,,,,,,,,,,,
57212,en salle,U.S.A.,15/01/2016,-,19/05/2016,Long métrage,175 000 000 USD,Anglais,-,Couleur,-,-,2 nominations,125970,1h 33min,Animation,Comédie,Famille,Mike Mitchell (V),"3,2",19,"3,2",22619,,,,,,,Pas mal,Pas terrible,,,,,,,,,,,,,,,,,,,,Pas terrible,,,,,Pas mal,Pas mal,Pas mal,,,,Très bien,,,,Très bien,,,,,,,,,,
136190,en salle,U.S.A.,21/08/2019,26/10/2010,01/02/2016,Long métrage,200 000 000 USD,"Anglais, Français, Russe",-,Couleur,-,-,6 nominations,125467,2h 04min,Action,Aventure,Science Fiction,Jon Favreau,"3,1",20,"3,4",51184,,,,,Pas terrible,Pas mal,,Pas terrible,,,,,,,,Pas terrible,,,,,,,,,,,,,,,,,Pas terrible,Très bien,,Très mauvais,,,Pas mal,,,,,,,,,,,,,,
136370,en salle,,-,05/04/2011,01/01/2019,Long métrage,60 000 000,Anglais,-,Couleur,-,-,,127581,1h 52min,Aventure,Comédie,Fantastique,Edgar Wright,"3,4",17,"3,8",7367,,,,,Chef-d'oeuvre,Pas mal,Très bien,Pas terrible,,,,,,,,,,,,,,,,,,,,,,,,,Très bien,,,,,,,,,,Pas mal,,,,,,,,,,
126678,en salle,U.S.A.,01/12/2024,-,01/02/2016,Long métrage,200 000 000 USD,Anglais,-,Couleur,-,-,,126164,2h 06min,Action,Aventure,,Mike Newell,"2,6",22,"3,1",27515,,,,,Pas terrible,Pas mal,Pas mal,Très bien,,,,,,,,Très mauvais,,,,,,,,,,,,,,,,,Très mauvais,,Très mauvais,Pas terrible,,,Pas mal,,,,Très bien,,,,,,,,,,
143994,en salle,U.S.A.,03/12/2010,-,28/01/2016,Long métrage,68 000 000 USD,Anglais,-,Couleur,-,-,5 prix et 13 nominations,126476,2h 04min,Fantastique,Romance,,David Slade,"2,6",22,"2,5",24855,,,,,Très bien,,Pas mal,Pas terrible,,,,,,,,Pas mal,,,,,,,,,,,,,,,,,Pas mal,Très bien,Pas mal,Très mauvais,,,Pas mal,,,,Très bien,,,,Très bien,,,,,,
110815,en salle,U.S.A.,-,-,04/08/2017,Long métrage,150 000 000 USD,"Anglais, Roumain",-,Couleur,-,-,1 prix et 2 nominations,124872,1h 43min,Fantastique,Epouvante-horreur,Thriller,Joe Johnston,"3,1",14,"2,4",4237,,,,,Chef-d'oeuvre,,,Pas mal,,,,,,,,Chef-d'oeuvre,,,,,,,,,,,,,,,,,Très mauvais,Pas terrible,Pas mal,,,,Pas mal,,,,,,,,,,,,,,
177999,en salle,,01/12/2024,-,15/06/2011,Long métrage,-,Espagnol,-,Couleur,-,-,3 prix et 11 nominations,124 534,1h 43min,Drame,Historique,,Icíar Bollaín,"3,2",17,"4,0",1808,,,,,,Pas terrible,Pas terrible,Pas mal,,,,,,,,,,,,,,,,,,,,Pas mal,,,,,Pas mal,,,Très bien,,,Pas terrible,,,,Pas mal,,,,Très bien,,,,,,
183099,en salle,France,-,-,12/12/2011,Long métrage,-,Français,-,Couleur,-,-,2 nominations,117848,1h 27min,Comédie,,,Denis Thybaud,"2,4",11,"2,6",1276,,,,,,,Pas terrible,Pas terrible,,,,,,,,Pas mal,,,,,,,,,,,,,,,,,Pas mal,Pas mal,,,,,Très mauvais,,,,,,,,,,,,,,
131841,en salle,U.S.A.,-,-,15/10/2017,Long métrage,40 000 000 USD,"Anglais, Ukrainien",-,Couleur,-,-,3 nominations,127538,1h 47min,Comédie dramatique,Romance,,Roger Michell,"3,1",19,"3,1",2961,,,,,,Pas mal,Pas mal,Pas mal,,,,,,,,Très bien,,,,,,,,,,,,,,,,,Pas mal,Très bien,Très bien,,,,,,,,,,,,Très bien,,,,,,
147914,en salle,U.S.A.,25/05/2011,-,07/10/2013,Long métrage,38 000 000 USD,Anglais,-,Couleur,-,-,,128109,1h 54min,Comédie,Romance,,Greg Berlanti,"2,3",9,"3,3",3656,,,,,,,Pas mal,Pas mal,,,,,,,,,,,,,,,,,,,,,,,,,Très mauvais,Très mauvais,,,,,Pas mal,,,,,,,,,,,,,,
177854,en salle,France,-,-,12/04/2015,Long métrage,-,Français,-,Couleur,-,-,4 nominations,124952,1h 25min,Policier,,,Fred Cavayé,"3,5",22,"3,7",6212,,,,,,Pas mal,Très bien,Pas terrible,,,,,,,,Très bien,,,,,,,,,,,,Très bien,,,,,Pas mal,Très bien,Très mauvais,,,,Très bien,,,,Très bien,,,,Très bien,,,,,,
174327,en salle,U.S.A.,19/10/2011,-,01/04/2018,Long métrage,-,Anglais,-,Couleur,-,-,5 prix et 4 nominations,129944,1h 44min,Comédie dramatique,,,Mike Mills,"3,5",24,"3,3",1903,,,,,,Très bien,Pas mal,Très bien,,,,,,,,Pas mal,,,,,,,,,,,,,,,,,Pas mal,Très bien,Très bien,Pas terrible,,,Très bien,,,,Très bien,,,,Pas mal,,,,,,
142987,en salle,U.S.A.,-,-,01/06/2015,Long métrage,40 000 000 USD,"Anglais, Russe, Espagnol",-,Couleur,-,-,,126365,1h 47min,Action,Science Fiction,,Nimród Antal,"2,5",14,"2,4",7544,,,,,Pas mal,,,Pas terrible,,,,,,,,Pas terrible,,,,,,,,,,,,,,,,,Très mauvais,Pas mal,,,,,Pas mal,,,,,,,,,,,,,,
144222,en salle,,01/12/2024,-,01/06/2016,Long métrage,-,Anglais,-,Couleur,-,-,6 nominations,-,1h 43min,Drame,Romance,,Mark Romanek,"3,1",22,"3,4",4181,,,,,Pas terrible,,Très bien,Pas mal,,,,,,,,Très bien,,,,,,,,,,,,Très bien,,,,,Pas terrible,,,Pas mal,,,Pas terrible,,,,,,,,,,,,,,
129815,en salle,U.S.A.,-,06/04/2011,22/01/2018,Long métrage,5 000 000 USD,"Anglais, Espagnol",-,Couleur,-,-,1 prix et 2 nominations,127487,1h 45min,Action,,,Robert Rodriguez,"3,4",19,"3,5",8605,,,,,,Très bien,Pas mal,Pas mal,,,,,,,,Pas terrible,,,,,,,Pas mal,,,,,,,,,,,Très bien,,,,,Pas mal,,,,,,,,,,,,,,
51407,en salle,U.S.A.,01/12/2024,15/12/2010,01/02/2016,Long métrage,150 000 000 USD,Anglais,-,Couleur,-,-,,126776,1h 45min,Action,Fantastique,,Jon Turteltaub,"2,8",16,"2,9",8743,,,,,Très mauvais,,Pas mal,Pas terrible,,,,,,,,Pas mal,,,,,,,,,,,,,,,,,Pas terrible,Très mauvais,,,,,,,,,,,,,,,,,,,
138529,en salle,Belgique,11/12/2010,-,18/12/2010,Long métrage,-,"Anglais, Français",-,Couleur,-,-,1 prix et 2 nominations,-,1h 25min,Aventure,Animation,,Ben Stassen,"2,9",12,"3,2",1585,,,,,,,Pas terrible,Pas mal,,,,,,,,Pas terrible,,,,,,,,,,,,Pas terrible,,,,,Pas mal,Très bien,,,,,,,,,,,,,,,,,,,
170148,en salle,U.S.A.,27/09/2017,10/03/2011,01/10/2021,Long métrage,17 000 000 USD,Anglais,-,Couleur,-,-,,127904,1h 27min,Epouvante-horreur,,,Kevin Greutert,"1,5",4,"2,4",4236,,,,,Très mauvais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174416,en salle,France,22/05/2017,-,15/01/2011,Long métrage,-,"Anglais, Français",35mm,Couleur,missing__Format.Sound.DolbySrDdts,1.85 : 1,6 nominations,123771,1h 43min,Drame,Erotique,Romance,Antony Cordier,"2,8",21,"2,2",943,,,,,,Pas terrible,Pas mal,Pas terrible,,,,,,,,,,,,,,,,,,,,Très mauvais,,,,,Très bien,,Chef-d'oeuvre,Très bien,,,Pas mal,,,,Très bien,,,,,,,,,,
189699,en salle,France,-,-,31/12/2011,Long métrage,-,Français,35mm,Couleur,Dolby Digital,2.35 : 1 Cinemascope,4 prix et 23 nominations,127898,1h 40min,Drame,,,Valérie Donzelli,"4,4",25,"3,8",6001,,,,,,Très bien,Très bien,Pas terrible,,,,,,,,,,,,,,,,,,,,Très bien,,,,,Chef-d'oeuvre,Chef-d'oeuvre,Chef-d'oeuvre,Chef-d'oeuvre,Très bien,,Chef-d'oeuvre,,,,Chef-d'oeuvre,,,,,,,,,,
143767,en salle,,-,-,18/08/2010,Long métrage,7 500 000 EUR,Français,35mm,Couleur,-,-,,122 197,1h 35min,Thriller,,,Grégoire Vigneron,"2,7",17,"3,0",902,,,,,,Très mauvais,Pas mal,Pas mal,,,,,,,,,,,,,,,,,,,,,,,,,Pas mal,Chef-d'oeuvre,,Pas mal,,,Pas terrible,,,,Pas mal,,,,Pas mal,,,,,,
189616,en salle,Iran,08/11/2011,08/11/2011,09/03/2016,Long métrage,-,Persan,-,Couleur,-,-,12 prix et 8 nominations,129415,2h 03min,Drame,,,Asghar Farhadi,"4,7",20,"4,1",6534,,,,,,,Très bien,Chef-d'oeuvre,,,,,,,,,,,,,,,,,,,,Chef-d'oeuvre,,,,,Chef-d'oeuvre,Chef-d'oeuvre,Chef-d'oeuvre,Très bien,Chef-d'oeuvre,,Chef-d'oeuvre,,,,Chef-d'oeuvre,,,,Très bien,,,,,,
135561,en salle,,02/03/2011,02/03/2011,01/03/2011,Long métrage,80 000 000 USD,Anglais,35mm,Couleur,Dolby Digital,2.35 : 1 Cinemascope,,127861,1h 39min,Aventure,Animation,Fantastique,Zack Snyder,"3,1",19,"3,7",3120,,,,,Très bien,,,Pas mal,,,,,,,,,,,,,,,,,,,,Pas mal,,,,,Pas terrible,Très bien,Pas terrible,Pas mal,,,Très bien,,,,,,,,,,,,,,
170652,en salle,,-,17/08/2011,01/01/2015,Long métrage,-,Français,35mm,Couleur,Dolby SRD,2.35 : 1 Cinemascope,,116262,1h 22min,Policier,,,Pierre Lacan,"2,2",17,"2,5",550,,,,,,,Pas terrible,Pas terrible,,,,,,,,Pas mal,,,,,,,,,,,,Pas terrible,,,,,Pas terrible,Pas mal,,Très bien,,,Pas terrible,,,,,,,,Très mauvais,,,,,,
139966,en salle,,01/02/2011,01/12/2024,01/03/2019,Long métrage,19 000 000 USD,Anglais,-,Couleur,-,-,,126420,1h 40min,Comédie,Romance,,Anand Tucker,"2,1",7,"3,2",1316,,,,,,,Pas terrible,,,,,,,,,,,,,,,,,,,,,,,,,,,Très bien,,,,,,,,,,,,,,,,,,,
183574,en salle,U.S.A.,01/06/2021,-,19/04/2011,Long métrage,10 000 000 USD,Anglais,-,Couleur,-,-,,128241,1h 33min,Science Fiction,Thriller,,Colin Strause,"1,5",4,"1,5",4050,,,,,Très mauvais,,Très mauvais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140139,en salle,,27/09/2011,27/09/2011,20/02/2011,Long métrage,-,"Chinois, Espagnol, Wolof",-,Couleur,-,-,2 prix et 18 nominations,-,2h 18min,Drame,,,Alejandro González Iñárritu,"3,3",27,"3,7",2638,,,,,,Très bien,Très bien,Pas terrible,,,,,,,,Très bien,,,,,,,,,,,,Très bien,,,,,Très bien,Très bien,Chef-d'oeuvre,Pas mal,Très bien,,Très bien,,,,Chef-d'oeuvre,,,,Pas mal,,,,,,
137312,en salle,U.S.A.,01/12/2024,10/11/2010,-,Long métrage,-,Anglais,-,Couleur,-,-,,120571,1h 31min,Drame,Thriller,,Kim Chapiron,"3,5",22,"4,1",5885,,,,,,Pas mal,Très bien,Pas terrible,,,,,,,,Très bien,,,,,,,,,,,,,,,,,Pas mal,Très bien,Très bien,Très bien,,,Pas mal,,,,,,,,Très bien,,,,,,
135259,en salle,France,15/07/2010,15/07/2010,15/07/2010,Long métrage,38 000 000 EUR,"Anglais, Français, Allemand, Mandarin",-,Couleur,-,-,,121849,1h 33min,Action,,,Pierre Morel,"2,4",12,"2,3",4306,,,,,,,Pas mal,Très mauvais,,,,,,,,Pas terrible,,,,,,,,,,,,,,,,,,Pas terrible,,,,,Pas mal,,,,,,,,,,,,,,
169922,en salle,U.S.A.,-,-,03/06/2013,Long métrage,65 000 000 USD,"Anglais, Espagnol",-,Couleur,-,-,,127849,1h 35min,Comédie,,,Todd Phillips,"3,1",17,"3,3",9303,,,,,,Très bien,Pas mal,Pas mal,,,,,,,,,,,,,,,,,,,,,,,,,Pas terrible,Très bien,,,,,Pas mal,,,,,,,,,,,,,,
173428,en salle,France,-,-,14/03/2012,Long métrage,-,Français,-,Couleur,-,-,2 prix et 11 nominations,127704,2h 00min,Drame,,,Philippe Lioret,"3,6",24,"3,7",1913,,,,,,Pas mal,Chef-d'oeuvre,Pas mal,,,,,,,,,,,,,,,,,,,,Pas mal,,,,,Pas terrible,Chef-d'oeuvre,Très bien,Pas mal,,,Très bien,,,,Très bien,,,,Pas terrible,,,,,,
127381,en salle,U.S.A.,24/04/2015,10/08/2010,01/10/2021,Long métrage,25 000 000 USD,Anglais,-,Couleur,-,-,,125809,1h 45min,Drame,Romance,Guerre,Lasse Hallström,"3,5",2,"3,5",3333,,,,,,Pas mal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123257,en salle,U.S.A.,11/01/2011,30/11/2024,28/09/2023,Long métrage,19 000 000 USD,Anglais,-,Couleur,-,-,,2010001580,1h 42min,Comédie,,,Josh Gordon,"1,9",7,"2,3",1460,,,,,,,Pas mal,Pas terrible,,,,,,,,,,,,,,,,,,,,,,,,,Pas terrible,,,,,,,,,,,,,,,,,,,,
134533,en salle,U.S.A.,01/03/2013,-,30/04/2015,Long métrage,15 000 000 USD,Anglais,-,Couleur,-,-,,127461,1h 34min,Comédie,,,Thor Freudenthal,"1,3",3,"2,5",463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182453,en salle,,-,-,28/10/2010,Long métrage,-,"ARABIC, Anglais, Français, Allemand, Hongrois, Japonais, Russe, Espagnol",-,Couleur,-,-,2 prix et 7 nominations,122673,2h 45min,Biopic,Drame,,Olivier Assayas,"4,3",22,"3,5",869,,,,,,Chef-d'oeuvre,Très bien,Très bien,,,,,,,,,,,,,,,Très bien,,,,,Pas terrible,,,,,Très bien,Très bien,Chef-d'oeuvre,,Chef-d'oeuvre,,Très bien,,,,,,,,,,,,,,
179786,en salle,Canada,01/09/2015,-,01/07/2016,Long métrage,-,Français,-,Couleur,-,-,6 nominations,-,1h 35min,Comédie dramatique,,,Xavier Dolan,"3,5",24,"3,7",4014,,,,,,Très mauvais,Très bien,Très bien,,,,,,,,Chef-d'oeuvre,,,,,,,,,,,,Chef-d'oeuvre,,,,,Très bien,,Chef-d'oeuvre,Très bien,Pas mal,,Pas mal,,,,Pas terrible,,,,,,,,,,
132095,en salle,U.S.A.,01/12/2024,-,01/04/2019,Long métrage,20 000 000 USD,Anglais,-,Couleur,-,-,,125468,1h 44min,Comédie,Romance,,Jim Field Smith,"2,6",7,"2,7",1415,,,,,,,Pas terrible,,,,,,,,,,,,,,,,Pas mal,,,,,,,,,,,,,Pas mal,,,,,,,,,,,,,,,,,
184261,en salle,,-,-,10/12/2012,Long métrage,2 000 000 EUR,"Anglais, Finlandais",-,Couleur,-,-,5 nominations,124422,1h 24min,Action,Fantastique,,Jalmari Helander,"3,3",15,"2,4",749,,,,,Très bien,,Pas mal,Pas mal,,,,,,,,,,,,,,,,,,,,,,,,,Très bien,,,,,,,,,,,,,,,,,,,,
