identifiant,release,nationalite,date_sortie_dvd,date_sortie_bluray,date_sortie_vod,type_film,budget,langues,format_production,couleur,format_audio,format_projection,recompenses,num_visa,duration,genre1,genre2,genre3,director,press_rating,press_reviews,spectators_rating,spectators_reviews,L’Écran fantastique,Les Cahiers du cinéma,Cinemateaser,Les Inrocks,Mad Movies,Positif,Première,Télérama,Transfuge,À voir à lire,Bande à part,Critikat,Culturebox,Culturopoing,Ecran large,Filmsactu,Journal du geek,La Septième obsession,LCI,Les Fiches du cinéma,IGN France,20 minutes,Charlie Hebdo,CNews,Les Dernières Nouvelles d’Alsace,Les Echos,L’Humanité,La Croix,La Voix du nord,Le Dauphiné Libéré,Le Figaro,Le JDD,Le Monde,Le Parisien,Le Point,Libération,Marianne,Nouvel Obs,Ouest France,Sud-Ouest,Biba,Closer,Elle,Femme actuelle,GQ,Marie-Claire,Paris Match,Public,Rolling Stone,Télé 2 semaines,Télé 7 jours,Téléloisirs,Voici
175305,en salle,Grande-Bretagne,01/01/2012,07/06/2011,02/06/2011,Long métrage,15 000 000 USD,Anglais,-,Couleur,-,-,21 prix et 30 nominations,128258,1h 58min,Biopic,Drame,Historique,Tom Hooper,"4,0",27,"4,3",38823,,,,,,Très bien,Très bien,Pas mal,,,,,,,,Chef-d'oeuvre,,,,,,,,,,,,Très bien,,,,,Très bien,Chef-d'oeuvre,Chef-d'oeuvre,Très bien,Très bien,,Chef-d'oeuvre,,,,Très bien,,,,Chef-d'oeuvre,,,,,,
121807,en salle,U.S.A.,02/02/2011,-,01/01/2015,Long métrage,60 000 000 USD,"Anglais, Italien, Portugais",-,Couleur,-,-,,-,2h 20min,Drame,,,Ryan Murphy,"1,7",12,"2,5",3500,,,,,,Très mauvais,Très mauvais,,,,,,,,,Pas mal,,,,,,,,,,,,,,,,,Très mauvais,,Pas mal,,,,Très mauvais,,,,,,,,,,,,,,
140603,en salle,,-,-,01/02/2016,Long métrage,-,"Chinois, Anglais",-,Couleur,-,-,,-,2h 20min,Action,Drame,Famille,Harald Zwart,"3,1",7,"3,4",8034,,,,,,,Très bien,Pas terrible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128955,en salle,U.S.A.,26/05/2010,26/05/2010,01/10/2021,Long métrage,80 000 000 USD,Anglais,-,Couleur,-,-,,-,1h 49min,Science Fiction,,,Albert Hughes,"2,4",20,"3,3",10664,,,,,Très bien,Pas terrible,,Pas mal,,,,,,,,Très mauvais,,,,,,,Pas terrible,,,,,Très mauvais,,,,,Pas mal,Pas terrible,Pas terrible,Pas terrible,,,Pas mal,,,,,,,,,,,,,,
140633,en salle,U.S.A.,-,-,30/11/2011,Long métrage,50 000 000 USD,"Anglais, Français",-,Couleur,-,-,8 nominations,128463,2h 08min,Drame,Fantastique,Thriller,Clint Eastwood,"2,7",29,"2,6",10135,,,,,Pas terrible,Chef-d'oeuvre,Très mauvais,Pas mal,,,,,,,,Pas terrible,,,,,,,,,,,,Pas terrible,,,,,Pas mal,Pas terrible,Pas mal,Pas mal,Pas mal,,Pas mal,,,,Pas terrible,,,,Pas mal,,,,,,
134196,en salle,U.S.A.,-,04/08/2010,31/12/2017,Long métrage,-,Anglais,-,Couleur,-,-,,125418,1h 40min,Action,Fantastique,Epouvante-horreur,Scott Stewart (XX),"1,7",10,"1,7",3148,,,,,Pas mal,,,,,,,,,,,Pas mal,,,,,,,,,,,,,,,,,,,,,,,Pas terrible,,,,,,,,,,,,,,
142950,en salle,,01/12/2024,12/01/2011,07/11/2010,Long métrage,-,Anglais,-,Couleur,-,-,,124612,1h 37min,Action,Aventure,Historique,Neil Marshall,"2,8",6,"2,7",2418,,,,,,Très bien,Pas mal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130203,en salle,U.S.A.,-,05/01/2011,25/12/2010,Long métrage,110 000 000 USD,Anglais,-,Couleur,-,-,3 nominations,125465,1h 41min,Action,Espionnage,Thriller,Phillip Noyce,"2,7",17,"2,9",19163,,,,,,,Pas mal,Pas mal,,,,,,,,,,,,,,,,,,,,,,,,,Pas mal,Pas mal,,Pas terrible,,,Très mauvais,,,,Pas mal,,,,,,,,,,
126693,en salle,,01/10/2013,08/04/2011,30/11/2011,Long métrage,150 000 000 USD,Anglais,-,Couleur,-,-,2 prix et 13 nominations,127998,2h 26min,Aventure,Fantastique,,David Yates,"3,2",20,"4,0",54951,,,,,Très mauvais,Très mauvais,,Pas terrible,,,,,,,,Chef-d'oeuvre,,,,,,,,,,,,Très bien,,,,,Pas mal,Pas mal,Chef-d'oeuvre,Pas mal,,,Très bien,,,,,,,,Pas mal,,,,,,
144111,en salle,,01/12/2024,-,01/06/2017,Long métrage,22 000 000 USD,"ARABIC, Anglais, Français",-,Couleur,-,-,2 nominations,127953,1h 48min,Drame,Thriller,,Doug Liman,"2,8",22,"3,1",1593,,,,,,Très bien,Pas terrible,Pas mal,,,,,,,,,,,,,,,,,,,,,,,,,Pas mal,Très bien,Pas mal,Pas terrible,,,Pas mal,,,,Pas mal,,,,,,,,,,
